a52dec 0.8.0-3
python-idna 3.15-1
python-installer 1.0.0-1
python-jaraco.classes 3.4.0-3
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-jeepney 0.9.0-3
python-jinja 1:3.1.6-3
python-jsonschema 4.26.0-1
python-jsonschema-specifications 2025.9.1-2
python-keyring 25.7.0-3
python-lark-parser 1.3.1-2
python-mako 1.3.11-1
python-markdown 3.10.2-1
python-markupsafe 3.0.3-1
python-more-itertools 11.0.2-1
python-msgpack 1.1.2-2
python-packaging 26.2-1
python-pbs-installer 2026.05.10-1
python-pexpect 4.9.0-7
python-pillow 12.2.0-1
python-pkg_resources 81.0.0-1
python-pkginfo 1.12.1.2-2
python-platformdirs 4.9.6-1
python-poetry 2.4.1-1
python-poetry-core 2.4.0-1
python-poetry-dynamic-versioning 1.10.0-1
python-poetry-plugin-export 1.10.0-1
python-psutil 7.2.2-1
python-ptyprocess 0.7.0-9
python-pyasyncore 1.0.5-1
python-pycparser 3.00-1
python-pyinotify 0.9.6-16
python-pyproject-hooks 1.2.0-6
python-pystache 0.6.8-1
python-python-discovery 1.3.1-1
python-rapidfuzz 3.14.5-1
python-referencing 0.37.0-3
python-requests 2.34.2-1
python-requests-toolbelt 1.0.0-6
python-rpds-py 0.30.0-3
python-secretstorage 3.5.0-1
python-setuptools 1:82.0.1-1
python-shellingham 1.5.4-4
python-six 1.17.0-3
python-tomlkit 0.15.0-1
python-tqdm 4.67.3-1
python-trove-classifiers 2026.5.7.17-1
python-typing_extensions 4.15.0-3
python-urllib3 2.7.0-1
python-urwid 4.0.0-1
python-virtualenv 21.3.3-1
python-wcwidth 0.7.0-1
python-webencodings 0.5.1-13
python-wheel 0.47.0-1
python-yaml 6.0.3-2
qt5-base 5.15.18+kde+r109-2
qt5-declarative 5.15.18+kde+r23-1
qt5-svg 5.15.18+kde+r5-1
qt5-translations 5.15.18-1
qt5-wayland 5.15.18+kde+r55-1
qt5-x11extras 5.15.18-1
qt6-base 6.11.1-1
qt6-translations 6.11.1-1
rav1e 0.8.1-2
re2 2:2025.11.05-3
readline 8.3.003-1
rtkit 0.14-1
rubberband 4.0.0-2
rust 1:1.95.0-1
rust-bindgen 0.72.1-2
rust-src 1:1.95.0-1
sassc 3.6.2-5
sbc 2.2-1
sdbus-cpp 2.2.1-1
sdl2-compat 2.32.68-1
sdl3 3.4.8-1
seatd 0.9.3-1
sed 4.10-1
semver 7.8.0-1
serd 0.32.8-1
shaderc 2026.2-1
shadow 4.18.0-1
shared-mime-info 2.4-3
simdjson 1:4.6.4-1
slang 2.3.3-4
slurp 1.5.0-2
snappy 1.2.2-3
sndio 1.10.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-18
spandsp 0.0.6-7
spdlog 1.17.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.350.0-1
sqlite 3.53.1-1
sratom 0.6.22-1
srt 1.5.5-1
starship 1.25.1-1
startup-notification 0.12-9
steam 1.0.0.85-6
steam-devices 1.0.0.85-6
sudo 1.9.17.p2-2
svt-av1 4.1.0-1
systemd 260.1-2
systemd-libs 260.1-2
systemd-sysvcompat 260.1-2
taglib 2.3-1
tar 1.35-2
tdb 1.4.15-1
terminus-font 4.49.1-8
texinfo 7.3-1
themix-export-spotify-git 1.2.9.r3.g34a1fb7-1
themix-full-git 1.15.1-1
themix-gui-git 1.15.1.r307.ge7cf7ae6-1
themix-icons-archdroid-git 1.0.3.r0.gb90779de4-1
themix-icons-gnome-colors-git 5.5.6.r0.gd2cb7eb-2
themix-icons-numix-git 25.12.15.r1.gc876b6332.23.11.11.r2.gc0cdc42a6-1
themix-icons-papirus-git 20250501.r167.gc5a48381fc-1
themix-icons-suru-plus-aspromauros-git 3.0.r3.gf8319443-1
themix-icons-suru-plus-git 30.0.r4.ga52767ca0-1
themix-import-images-git 1.15.1.r307.ge7cf7ae6-1
themix-plugin-base16-git 1.6.2.r13.gfb861b5-1
themix-theme-oomox-git 1.12.8.r11.g0f134c33-1
thermald 2:2.5.11-1
tinysparql 3.11.1-1
tlp 1.10.0-1
tomlplusplus 3.4.0-2
totem-pl-parser 3.26.7-1
tpm2-tss 4.1.3-1
tslib 1.24-1
ttf-firacode-nerd 3.4.0-2
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
twolame 0.4.0-4
tzdata 2026b-1
uchardet 0.0.8-4
udisks2 2.11.1-2
unzip 6.0-23
upower 1.91.2-1
usbutils 019-1
util-linux 2.42-1
util-linux-libs 2.42-1
v4l-utils 1.32.0-2
vapoursynth 75-2
vesktop 1.6.5-1
vid.stab 1.1.1-2
violet-evergarden-grub-theme 1.0-1
visual-studio-code-bin 1.120.0-1
vlc 3.0.22-4
vlc-cli 3.0.22-4
vlc-gui-qt 3.0.22-4
vlc-plugin-a52dec 3.0.22-4
vlc-plugin-alsa 3.0.22-4
vlc-plugin-archive 3.0.22-4
vlc-plugin-dav1d 3.0.22-4
vlc-plugin-dbus 3.0.22-4
vlc-plugin-dbus-screensaver 3.0.22-4
vlc-plugin-faad2 3.0.22-4
vlc-plugin-flac 3.0.22-4
vlc-plugin-gnutls 3.0.22-4
vlc-plugin-inflate 3.0.22-4
vlc-plugin-journal 3.0.22-4
vlc-plugin-jpeg 3.0.22-4
vlc-plugin-lua 3.0.22-4
vlc-plugin-mpg123 3.0.22-4
vlc-plugin-ogg 3.0.22-4
vlc-plugin-opus 3.0.22-4
vlc-plugin-png 3.0.22-4
vlc-plugin-pulse 3.0.22-4
vlc-plugin-shout 3.0.22-4
vlc-plugin-speex 3.0.22-4
vlc-plugin-tag 3.0.22-4
vlc-plugin-theora 3.0.22-4
vlc-plugin-twolame 3.0.22-4
vlc-plugin-vorbis 3.0.22-4
vlc-plugin-vpx 3.0.22-4
vlc-plugin-xml 3.0.22-4
vlc-plugins-base 3.0.22-4
vlc-plugins-video-output 3.0.22-4
vmaf 3.1.0-1
volume_key 0.3.12-12
vulkan-icd-loader 1.4.350.0-1
waybar 0.15.0-2
wayland 1.25.0-1
wayland-protocols 1.48-1
webrtc-audio-processing-1 1.3-5
which 2.23-1
wireplumber 0.5.14-1
wl-clipboard 1:2.3.0-1
wlsunset 0.4.0-1
wofi 1.5.3-1
wpa_supplicant 2:2.11-5
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcur2png 0.7.1-9
xdg-desktop-portal 1.20.4-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.12-2
xdg-user-dirs 0.20-1
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xfconf 4.20.0-2
xkeyboard-config 2.47-1
xorg-fonts-encodings 1.1.0-2
xorg-server-common 21.1.22-2
xorg-setxkbmap 1.3.5-1
xorg-xkbcomp 1.5.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xwayland 24.1.11-2
xorgproto 2025.1-1
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.3-1
yay-bin 12.5.7-1
yay-bin-debug 12.5.7-1
yyjson 0.12.0-1
zenity 4.2.2-1
zeromq 4.3.5-3
zimg 3.0.6-1
zip 3.0-13
zix 0.8.0-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zsh 5.9-6
zsh-autosuggestions 0.7.1-1
zsh-syntax-highlighting 0.8.0-2
zstd 1.5.7-3
